,text,score
0,Isn't this place need any review or something ?? This is my personal favourite place for vada pav. Especially Butter vada pav. Taste of this place never changed. They use only Amul butter and make vada pav with a lot of butter. Must visit.,pos
1,"I had ordered from here. The vadapav had oil DRIPPING from it. And had ordered the veg aaloo mutter sandwich and puff,the stuffing of sandwich STANK. Puff had so less filling,it was like eating a khari.",neg
2,Before sometimes we have ordered vadapav and it was awesome. Specially I have mentioned spicy and they made it. Perfect taste super spicy loved it. Puff is also good though we couldn't able to click pic because of hunger. Definitely recommend,pos
3,"This small outlet is about memories... During office break, we used to eat a lot and quite frequently. Taste was good and service was quicker.",pos
4,"One Of The Best Place For Having Vadapav, And Yes Sandwich was also So Nice... I'm Eating Vadapav of This Place Since 2 Years... Awesome Quality and Taste is Just Amazing",pos
5,nic,pos
6,Best,pos
7,nice n very quick,pos
8,"nice, but i ordered and selected JAIN PREPARATION, but i was provided regular vadapav",pos
9,cheecheese vada pav with out cheese,pos
10,very fast delivery,pos
11,na,pos
12,Awesome,pos
13,Ahmedabad's best vadapav is found here!,pos
14,wrong iteam delivered,neg
15,very good on taste like always but very very oily like everytime,pos
16,Ordered butter vadapav and they delivered oil vadapav.,pos
17,it was poorly made n didn't taste like one which is served at place,neg
18,One of the beat vadapav I ever had in my life. Specially its butter vadapav and butter masala pav. A lottt of butter in it. Just amazing.... People follow diet food pls ignore..😂😂😂😂,pos
19,goodgood,pos
20,Very spicy even told zomoto to tell them not to make spicy,pos
21,excellent,pos
22,good,pos
23,good,pos
24,good,pos
25,nic,pos
26,Best,pos
27,nice n very quick,pos
28,"nice, but i ordered and selected JAIN PREPARATION, but i was provided regular vadapav",pos
29,cheecheese vada pav with out cheese,pos
30,very fast delivery,pos
31,na,pos
32,Awesome,pos
33,Ahmedabad's best vadapav is found here!,pos
34,wrong iteam delivered,neg
35,very good on taste like always but very very oily like everytime,pos
36,Ordered butter vadapav and they delivered oil vadapav.,pos
37,it was poorly made n didn't taste like one which is served at place,neg
38,One of the beat vadapav I ever had in my life. Specially its butter vadapav and butter masala pav. A lottt of butter in it. Just amazing.... People follow diet food pls ignore..😂😂😂😂,pos
39,goodgood,pos
40,Very spicy even told zomoto to tell them not to make spicy,pos
41,excellent,pos
42,good,pos
43,good,pos
44,good,pos
45,nic,pos
46,Best,pos
47,nice n very quick,pos
48,"nice, but i ordered and selected JAIN PREPARATION, but i was provided regular vadapav",pos
49,cheecheese vada pav with out cheese,pos
50,very fast delivery,pos
51,na,pos
52,Awesome,pos
53,Ahmedabad's best vadapav is found here!,pos
54,wrong iteam delivered,neg
55,very good on taste like always but very very oily like everytime,pos
56,Ordered butter vadapav and they delivered oil vadapav.,pos
57,it was poorly made n didn't taste like one which is served at place,neg
58,One of the beat vadapav I ever had in my life. Specially its butter vadapav and butter masala pav. A lottt of butter in it. Just amazing.... People follow diet food pls ignore..😂😂😂😂,pos
59,goodgood,pos
60,Very spicy even told zomoto to tell them not to make spicy,pos
61,excellent,pos
62,good,pos
63,good,pos
64,good,pos
65,nic,pos
66,Best,pos
67,nice n very quick,pos
68,"nice, but i ordered and selected JAIN PREPARATION, but i was provided regular vadapav",pos
69,cheecheese vada pav with out cheese,pos
70,very fast delivery,pos
71,na,pos
72,Awesome,pos
73,Ahmedabad's best vadapav is found here!,pos
74,wrong iteam delivered,neg
75,very good on taste like always but very very oily like everytime,pos
76,Ordered butter vadapav and they delivered oil vadapav.,pos
77,it was poorly made n didn't taste like one which is served at place,neg
78,One of the beat vadapav I ever had in my life. Specially its butter vadapav and butter masala pav. A lottt of butter in it. Just amazing.... People follow diet food pls ignore..😂😂😂😂,pos
79,goodgood,pos
80,Very spicy even told zomoto to tell them not to make spicy,pos
81,excellent,pos
82,good,pos
83,good,pos
84,good,pos
85,its awesome,pos
86,good,pos
87,good boy,pos
88,In vadapav vadas quality is not good because bad smell came out from vada,pos
89,saras,pos
90,The vadapav was bland. It had no flavour of spice to it.,neg
91,item missing,neg
92,please pack Food Package Properly..,pos
93,mast test,pos
94,not include sauce..🙈,pos
95,nice service,pos
96,😋😋😋vadapau😋😋😋,pos
97,worst pizza ever... I don't like this pizza. pls improve the quality & quantity,neg
98,I asked for their chutneys to be packed separately but I ended up getting none. While you eat at the place they have a specific mint and pumpkin chutneys that comes with the vadapau. I got none.,pos
99,on time delivery...,pos
100,good,pos
101,good Service,pos
102,no green chuteny and portion size is too small,neg
103,good service great food,pos
104,3 vadapav out of 7 were in oil.. Even after ordering all of in butter,pos
105,its awesome,pos
106,good,pos
107,good boy,pos
108,In vadapav vadas quality is not good because bad smell came out from vada,pos
109,saras,pos
110,The vadapav was bland. It had no flavour of spice to it.,neg
111,item missing,neg
112,please pack Food Package Properly..,pos
113,mast test,pos
114,not include sauce..🙈,pos
115,nice service,pos
116,😋😋😋vadapau😋😋😋,pos
117,worst pizza ever... I don't like this pizza. pls improve the quality & quantity,neg
118,I asked for their chutneys to be packed separately but I ended up getting none. While you eat at the place they have a specific mint and pumpkin chutneys that comes with the vadapau. I got none.,pos
119,on time delivery...,pos
120,good,pos
121,good Service,pos
122,no green chuteny and portion size is too small,neg
123,good service great food,pos
124,3 vadapav out of 7 were in oil.. Even after ordering all of in butter,pos
125,its awesome,pos
126,good,pos
127,good boy,pos
128,In vadapav vadas quality is not good because bad smell came out from vada,pos
129,saras,pos
130,The vadapav was bland. It had no flavour of spice to it.,neg
131,item missing,neg
132,please pack Food Package Properly..,pos
133,mast test,pos
134,not include sauce..🙈,pos
135,nice service,pos
136,😋😋😋vadapau😋😋😋,pos
137,worst pizza ever... I don't like this pizza. pls improve the quality & quantity,neg
138,I asked for their chutneys to be packed separately but I ended up getting none. While you eat at the place they have a specific mint and pumpkin chutneys that comes with the vadapau. I got none.,pos
139,on time delivery...,pos
140,good,pos
141,good Service,pos
142,no green chuteny and portion size is too small,neg
143,good service great food,pos
144,3 vadapav out of 7 were in oil.. Even after ordering all of in butter,pos
145,test was good..but you have to include green chatni....,pos
146,very good service and food,pos
147,THE BUTTER WAS DELICIOUS!!! WELL DONE!😍😍,pos
148,Bombay vadapau😋,pos
149,Good taste and value for money.Preserve this quality of vadapav.Nowadays quality of vadapavs is decreasing...Shreeji is best in Vadapavs,pos
150,nice,pos
151,ok,pos
152,GOOD,pos
153,Vadapav was not good,neg
154,mast,pos
155,GOOD SERVICE PROVIDE BY ZOMATO,pos
156,Today the sandwiches were over grilled and it seems that the filling was not freshly prepared. Not liked them today.,neg
157,worst,neg
158,good service,pos
159,ok,pos
160,good,pos
161,You should work on packaging the food !,pos
162,mast,pos
163,did not get a green chutney which are required in an vadapav as well as delivery are not on time so the vadapav get cold.,pos
164,test was good..but you have to include green chatni....,pos
165,very good service and food,pos
166,THE BUTTER WAS DELICIOUS!!! WELL DONE!😍😍,pos
167,Bombay vadapau😋,pos
168,Good taste and value for money.Preserve this quality of vadapav.Nowadays quality of vadapavs is decreasing...Shreeji is best in Vadapavs,pos
169,nice,pos
170,ok,pos
171,GOOD,pos
172,Vadapav was not good,neg
173,mast,pos
174,GOOD SERVICE PROVIDE BY ZOMATO,pos
175,Today the sandwiches were over grilled and it seems that the filling was not freshly prepared. Not liked them today.,neg
176,worst,neg
177,good service,pos
178,ok,pos
179,good,pos
180,You should work on packaging the food !,pos
181,mast,pos
182,did not get a green chutney which are required in an vadapav as well as delivery are not on time so the vadapav get cold.,pos
